id,desc
address,العنوان
clear,طقس صافي معظم اليوم
clearingpm,طقس صافي بعد الظهر
cloudcover,طقس غائم
cloudierpm,يتحول الطقس الى غائم بعد الظهر
coolingdown,يطرأ انخفاض على درجات الحرارة
dew,طقس رطب
dow1,الإثنين
dow2,الثلاثاء
dow3,الأربعاء
dow4,الخميس
dow5,الجمعة
dow6,السبت
dow7,الأحد
estprecip,تقدير كمية الهطول
heatindex,مؤشر الحرارة
humidity,الرطوبة
latlon,خطوط الطول والعرض
maxt,درجة الحرارة العظمى
mint,درجة الحرارة الصغرى
mostdays,معظم الايام
norain,لايتوقع هطول امطار
overcast,سماء ملبدة بالغيوم معظم اليوم
pop,فرصة هطول الأمطار (%)
precip,الأمطار
precipcover,نطاق الامطار
rainallday,هنالك فرصة لهطول الأمطار خلال اليوم
rainam,طقس ماطر صباحاً
rainampm,طقس ماطر صباحاًً وحتى ساعات المساء الاولى
rainchance,فرصة لهطول الآمطار
rainclearinglater,يتوقع توقف الامطار
raindays,فرصة لهطول المطر
raindefinite,طقس ماطر
rainearlyam,طقس ماطر في الصباح الباكر
rainlatepm,طقس ماطر مع ساعات العصر
rainpm,طقس ماطر مع ساعات الظهيرة
rainsnowallday,فرصة لهطول زخات من الأمطار والثلوج معظم اليوم
rainsnowam,فرصة لهطول زخات من الأمطار والثلوج صباحاً
rainsnowampm,فرصة لهطول زخات من الأمطار والثلوج صباحاً ومساءاً
rainsnowchance,فرصة هطول امطار وثلوج
rainsnowclearinglater,توقف هطول الأمطار والثلوج
rainsnowdefinite,امطار وزخات ثلجية
rainsnowearlyam,طقس ماطر مع زخات ثلجية في الصباح
rainsnowlatepm,طقس ماطر مع زخات ثلجية مع ساعات العصر
rainsnowpm,طقس ماطر مع زخات ثلجية ما بعد الظهر
sealevelpressure,الضغط الجوي السطحي
similartemp,استمرار درجات الحرارة كما هي
sky,الغطاء السحابي
sky,%s.
skyprecip,%s ، %s.
skytempprecip,%s و %s كما %s.
snow,ثلوج
snowallday,فرصة لتساقط الثلوج معظم اليوم
snowam,طقس مثلج صباحاً
snowampm,طقس مثلج صباحاً وما بعد الظهر
snowchance,فرصة تساقط الثلوج
snowclearinglater,توقف تساقط الثلوج
snowdays,فرصة لهطول الثلوج
snowdefinite,الثلوج
snowdepth,تراكم الثلوج
snowearlyam,ثلوج في الصباح الباكر
snowlatepm,ثلوج في وقت متأخر بعد الظهر
snowpm,ثلوج بعد الظهر
solarenergy,الطاقة الشمسية
solarradiation,الإشعاع الشمسي
stationdistance,بعد المحطة الرئيسية
stationInfo,المحطات المساهمة
stormspossible,فرصة لحدوث عواصف رعدية
stormsstrong,فرصة لحدوث عواصف رعدية شديدة
sunshine,شروق الشمس
temp,الحرارة
tempprecipweek,%s ، %s.
tempweek,%s.
today,اليوم
tomorrow,غداً
type_1,تساقط الثلوج او تطايرها بفعل الرياح
type_10,رذاذ متجمد كثيف / أمطار متجمدة
type_11,رذاذ متجمد خفيف / مطر متجمد
type_12,ضباب متجمد
type_13,أمطار متجمدة غزيرة
type_14,أمطار متجمدة خفيفة
type_15,سحب قمعية / زوبعة
type_16,زخات برد
type_17,ثلج
type_18,برق بدون رعد
type_19,ضباب
type_2,رذاذ
type_20,هطول امطار في المناطق المحيطة
type_21,أمطار
type_22,أمطار غزيرة وثلوج
type_23,أمطار خفيفة وثلوج
type_24,زخات من الامطار
type_25,أمطار غزيرة
type_26,أمطار خفيفة
type_27,انقشاع نسبي للغيوم
type_28,تكاثر السحب على ارتفاعات مختلفة
type_29,بقاء الاجواء كما هي
type_3,رذاذ كثيف
type_30,دخان أو ضباب
type_31,ثلوج
type_32,زخات من الثلوج والأمطار
type_33,زخات من الثلج
type_34,ثلوج غزيرة جداً
type_35,ثلوج خفيفة
type_36,عاصفة ثلجية
type_37,عاصفة رعدية
type_38,عاصفة رعدية بدون هطول الأمطار
type_39,غبار
type_4,رذاذ خفيف
type_40,برد
type_41,غائم
type_42,غائم جزئياً
type_43,صافي
type_5,رذاذ كثيف / مطر
type_6,رذاذ خفيف / مطر
type_7,عاصفة رملية
type_8,ضباب
type_9,رذاذ متجمد
variablecloud,غائم جزئيا معظم اليوم
visibility,مدى الرؤية الافقية
warmingup,ارتفاع على الحرارة
wdir,اتجاه الرياح
wdir,اتجاه الرياح
weatherType,نوع الطقس
wgust,هبات الرياح
windchill,هواء بارد
wspd,سرعة الرياح
